ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA,CAMPIONCINO
6722,Gronbaek,Albert Gronbaek,C,12,Genoa,Danimarca,https://content.fantacalcio.it/web/campioncini/20/card/6722.png?v=341
6106,Carboni V.,Valentin Carboni,C,11,Genoa,Argentina;Italia,https://content.fantacalcio.it/web/campioncini/20/card/6106.png?v=341
6822,Ekhator,Jeff Ekhator,A,1,Genoa,Italia;Nigeria,https://content.fantacalcio.it/web/campioncini/20/card/6822.png?v=341
5506,Ekuban,Caleb Ekuban,A,2,Genoa,Ghana;Italia,https://content.fantacalcio.it/web/campioncini/20/card/5506.png?v=341
4923,Colombo,Lorenzo Colombo,A,11,Genoa,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4923.png?v=341
6164,Vitinha O.,Vitinha Carvalho Olivera,A,12,Genoa,Portogallo,https://content.fantacalcio.it/web/campioncini/20/card/6164.png?v=341
1926,Di Gennaro,Raffaele Di Gennaro,P,1,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/1926.png?v=341
5116,Martinez Jo.,Josep Martinez,P,2,Inter,Spagna,https://content.fantacalcio.it/web/campioncini/20/card/5116.png?v=341
2428,Sommer,Yann Sommer,P,16,Inter,Svizzera,https://content.fantacalcio.it/web/campioncini/20/card/2428.png?v=341
513,Acerbi,Francesco Acerbi,D,9,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/513.png?v=341
2120,Bastoni,Alessandro Bastoni,D,17,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2120.png?v=341
6217,Bisseck,Yann Bisseck,D,9,Inter,Germania;Camerun,https://content.fantacalcio.it/web/campioncini/20/card/6217.png?v=341
322,De Vrij,Stefan De Vrij,D,9,Inter,Olanda,https://content.fantacalcio.it/web/campioncini/20/card/322.png?v=341
4177,Pavard,Benjamin Pavard,D,8,Inter,Francia,https://content.fantacalcio.it/web/campioncini/20/card/4177.png?v=341
2525,Darmian,Matteo Darmian,D,4,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2525.png?v=341
5877,Carlos Augusto,Carlos Augusto,D,10,Inter,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/5877.png?v=341
254,Dimarco,Federico Dimarco,D,19,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/254.png?v=341
5513,Dumfries,Denzel Dumfries,D,20,Inter,Olanda;Aruba,https://content.fantacalcio.it/web/campioncini/20/card/5513.png?v=341
5301,Luis Henrique,Luis Henrique,C,7,Inter,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/5301.png?v=341
5422,Zalewski,Nicola Zalewski,C,7,Atalanta,Polonia,https://content.fantacalcio.it/web/campioncini/20/card/5422.png?v=341
5719,Asllani,Kristjan Asllani,C,4,Torino,Albania,https://content.fantacalcio.it/web/campioncini/20/card/5719.png?v=341
2194,Calhanoglu,Hakan Calhanoglu,C,22,Inter,Turchia;Germania,https://content.fantacalcio.it/web/campioncini/20/card/2194.png?v=341
1870,Barella,Nicolò Barella,C,14,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/1870.png?v=341
7070,Sucic P.,Petar Sucic,C,10,Inter,Croazia;Bosnia Erzegovina,https://content.fantacalcio.it/web/campioncini/20/card/7070.png?v=341
2529,Mkhitaryan,Henrikh Mkhitaryan,C,9,Inter,Armenia,https://content.fantacalcio.it/web/campioncini/20/card/2529.png?v=341
2848,Frattesi,Davide Frattesi,C,14,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/2848.png?v=341
152,Zielinski,Piotr Zielinski,C,4,Inter,Polonia,https://content.fantacalcio.it/web/campioncini/20/card/152.png?v=341
4463,Esposito Se.,Sebastiano Esposito,A,7,Cagliari,Italia,https://content.fantacalcio.it/web/campioncini/20/card/4463.png?v=341
6669,Bonny,Ange-Yoan Bonny,A,7,Inter,Francia;Costa d''Avorio,https://content.fantacalcio.it/web/campioncini/20/card/6669.png?v=341
7071,Esposito F.P.,Francesco Pio Esposito,A,7,Inter,Italia,https://content.fantacalcio.it/web/campioncini/20/card/7071.png?v=341
2764,Martinez L.,Lautaro Martinez,A,35,Inter,Argentina,https://content.fantacalcio.it/web/campioncini/20/card/2764.png?v=341
6628,Taremi,Mehdi Taremi,A,4,Inter,Iran,https://content.fantacalcio.it/web/campioncini/20/card/6628.png?v=341
4871,Thuram,Marcus Thuram,A,31,Inter,Francia;Guadalupe,https://content.fantacalcio.it/web/campioncini/20/card/4871.png?v=341
5876,Di Gregorio,Michele Di Gregorio,P,16,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5876.png?v=341
218,Perin,Mattia Perin,P,1,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/218.png?v=341
1930,Pinsoglio,Carlo Pinsoglio,P,1,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/1930.png?v=341
2788,Bremer,Gleison Bremer,D,13,Juventus,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/2788.png?v=341
5831,Gatti,Federico Gatti,D,8,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5831.png?v=341
294,Rugani,Daniele Rugani,D,3,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/294.png?v=341
4976,Kalulu,Pierre Kalulu,D,9,Juventus,Francia;Repubblica Democratica del Congo,https://content.fantacalcio.it/web/campioncini/20/card/4976.png?v=341
6766,Kelly L.,Lloyd Kelly,D,7,Juventus,Inghilterra,https://content.fantacalcio.it/web/campioncini/20/card/6766.png?v=341
6802,Savona,Nicolò Savona,D,3,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/6802.png?v=341
6039,Cabal,Juan Cabal,D,5,Juventus,Colombia,https://content.fantacalcio.it/web/campioncini/20/card/6039.png?v=341
6803,Rouhi,Jonas Rouhi,D,1,Juventus,Svezia;Marocco,https://content.fantacalcio.it/web/campioncini/20/card/6803.png?v=341
5520,Cambiaso,Andrea Cambiaso,D,14,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5520.png?v=341
7175,Joao Mario,Joao Mario Neto Lopes,D,8,Juventus,Portogallo,https://content.fantacalcio.it/web/campioncini/20/card/7175.png?v=341
4711,Kostic,Filip Kostic,C,4,Juventus,Serbia,https://content.fantacalcio.it/web/campioncini/20/card/4711.png?v=341
4662,Weah,Timothy Weah,C,7,Juventus,Stati Uniti;Francia,https://content.fantacalcio.it/web/campioncini/20/card/4662.png?v=341
827,Locatelli,Manuel Locatelli,C,12,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/827.png?v=341
4973,McKennie,Weston McKennie,C,10,Juventus,Stati Uniti,https://content.fantacalcio.it/web/campioncini/20/card/4973.png?v=341
5562,Thuram K.,Khephren Thuram,C,16,Juventus,Francia;Guadalupa,https://content.fantacalcio.it/web/campioncini/20/card/5562.png?v=341
4911,Douglas Luiz,Douglas Luiz,C,3,Juventus,Brasile,https://content.fantacalcio.it/web/campioncini/20/card/4911.png?v=341
5813,Miretti,Fabio Miretti,C,5,Juventus,Italia,https://content.fantacalcio.it/web/campioncini/20/card/5813.png?v=341
5685,Koopmeiners,Teun Koopmeiners,C,14,Juventus,Olanda,https://content.fantacalcio.it/web/campioncini/20/card/5685.png?v=341
6884,Conceicao,Francisco Conceicao,C,18,Juventus,Portogallo,https://content.fantacalcio.it/web/campioncini/20/card/6884.png?v=341
4179,Gonzalez N.,Nicolas Ivan Gonzalez,A,12,Juventus,Argentina,https://content.fantacalcio.it/web/campioncini/20/card/4179.png?v=341
