ID,COGNOME,NOME_COMPLETO,RUOLO,VALORE,SQUADRA,NAZIONALITA
7152,Bonfanti N.,Nicholas Bonfanti,A,1,Pisa,Italia
7153,Lind,Alexander Lind,A,4,Pisa,Danimarca
6836,Meister,Henrik Meister,A,3,Pisa,Danimarca
7169,Zelezny,Radoslav Zelezny,P,1,Roma,Polonia
610,Gollini,Pierluigi Gollini,P,1,Roma,Italia
5841,Svilar,Mile Svilar,P,15,Roma,Serbia;Belgio
4807,Hermoso,Mario Hermoso,D,4,Roma,Spagna
4495,Kumbulla,Marash Kumbulla,D,2,Roma,Albania;Italia
2296,Mancini,Gianluca Mancini,D,11,Roma,Italia
4317,N'Dicka,Evan N'Dicka,D,10,Roma,Francia;Camerun
4657,Celik,Zeki Celik,D,7,Roma,Turchia
6986,Rensch,Devyne Rensch,D,5,Roma,Olanda;Suriname
6885,Abdulhamid,Saud Abdulhamid,D,1,Roma,Arabia Saudita
7020,Salah-Eddine,Anass Salah-Eddine,D,4,Roma,Olanda;Marocco
4772,Angelino,Angelino,D,15,Roma,Spagna
7181,Wesley,Wesley,D,15,Roma,Brasile
779,Cristante,Bryan Cristante,C,9,Roma,Italia;Canada
6271,El Aynaoui,Neil El Aynaoui,C,9,Roma,Francia;Marocco
5589,Konè M.,Manu Kouadio Konè,C,14,Roma,Francia;Costa d''Avorio
6190,Pisilli,Niccolò Pisilli,C,7,Roma,Italia
530,Pellegrini Lo.,Lorenzo Pellegrini,C,11,Roma,Italia
795,El Shaarawy,Stephan El Shaarawy,C,8,Roma,Italia;Egitto
5823,Baldanzi,Tommaso Baldanzi,C,8,Roma,Italia
5734,Soulè,Matias Soulè,A,19,Roma,Argentina;Italia
309,Dybala,Paulo Dybala,A,26,Roma,Argentina;Italia
6675,Dovbyk,Artem Dovbyk,A,20,Roma,Ucraina
6365,Ferguson E.,Evan Ferguson,A,19,Roma,Irlanda
4518,Russo A.,Alessandro Russo,P,1,Sassuolo,Italia
2127,Satalino,Giacomo Satalino,P,1,Sassuolo,Italia
4867,Turati,Stefano Turati,P,7,Sassuolo,Italia
